Code station,Nom station,,,Code ZAS,,,,,,,,,,Latitude,Longitude
FR07034,Clermont-Esplanade Gare,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,775696","3,09625"
FR07039,Chamalières Europe,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,774728","3,062978"
FR07048,Villeneuve sur Allier,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"46,659048","3,249247"
FR07051,Beaulieu,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,769","3,155"
FR07052,Aurillac-Lagarde,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"44,92008","2,441082"
FR07053,Edouard Michelin,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,780434","3,111592"
FR07054,Le Puy-Causans,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,039001","3,887001"
FR07056,Pays du Mezenc,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"44,98377","4,226006"
FR07057,Moulins Centre,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"46,5619722","3,34063888888888"
FR07058,Montluçon,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"46,340723","2,593945"
FR07059,Vichy,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"46,130431","3,425694"
FR07060,Royat Périurbaine,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,764111","3,046111"
FR07061,Riom Périurbaine,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,89674","3,122254"
FR07202,Stade Leclanche,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,807487","3,111111"
FR08003,Chaptal,,,ATMO OCCITANIE,,,,,,,,,,"43,611668","3,864722"
FR08004,Saint Denis,,,ATMO OCCITANIE,,,,,,,,,,"43,605","3,8746"
FR08016,Montpellier Prés d'Arènes,,,ATMO OCCITANIE,,,,,,,,,,"43,591526","3,886894"
FR08017,Périurbaine Sud,,,ATMO OCCITANIE,,,,,,,,,,"43,570606","3,911556"
FR08018,Périurbaine Nord,,,ATMO OCCITANIE,,,,,,,,,,"43,695366","3,800817"
FR08020,Lunel,,,ATMO OCCITANIE,,,,,,,,,,"43,675762","4,088422"
FR08022,Agathois-piscénois,,,ATMO OCCITANIE,,,,,,,,,,"43,287758","3,504831"
FR08023,Biterrois-Narbonnais,,,ATMO OCCITANIE,,,,,,,,,,"43,40679","3,188806"
FR08030,Pompignane,,,ATMO OCCITANIE,,,,,,,,,,"43,609974","3,898611"
FR08209,Gard Rhodanien2,,,ATMO OCCITANIE,,,,,,,,,,"43,942886","4,679686"
FR08252,GARNOR03,,,ATMO OCCITANIE,,,,,,,,,,"44,053562","4,697364"
FR08614,Gauzy,,,ATMO OCCITANIE,,,,,,,,,,"43,834404","4,374219"
FR08616,Planas,,,ATMO OCCITANIE,,,,,,,,,,"43,829887","4,361989"
FR08617,La Calmette,,,ATMO OCCITANIE,,,,,,,,,,"43,925392","4,265814"
